reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
CA-3160,White Earth Valley Natural Area,54.364,-112.744,DO34pi,CA-AB,3,3,37,0,0
CA-3161,White Goat Natural Area,52.225,-116.853,DO12nf,CA-AB,0,0,0,0,0
CA-3162,Whitecourt Mountain Natural Area,54.0421,-115.72,DO24db,CA-AB,2,2,74,0,0
CA-3163,Whitehorse Wildland Provincial Park,52.8947,-117.248,DO12jv,CA-AB,1,1,12,0,0
CA-3164,Whitemud Falls Ecological Reserve,56.6916,-110.073,DO46xq,CA-AB,0,0,0,0,0
CA-3165,Whitemud Falls Wildland Provincial Park,56.6928,-110.026,DO46xq,CA-AB,0,0,0,0,0
CA-3166,Wildhay Glacial Cascades Natural Area,53.627,-117.704,DO13dp,CA-AB,1,1,19,0,0
CA-3167,Willmore Wilderness Park,53.6192,-118.183,DO03vo,CA-AB,0,0,0,0,0
CA-3168,Winagami Wildland Provincial Park,55.5406,-116.488,DO15sm,CA-AB,1,1,28,0,0
CA-3169,Yates Natural Area,53.6057,-116.282,DO13uo,CA-AB,1,1,16,0,0
CA-3170,100 Lakes Plateau Conservancy Provincial Park,50.5307,-123.536,CO80fm,CA-BC,0,0,0,0,0
CA-3173,Adams Lake Marine (Refuge Bay) Marine Park,51.3615,-119.454,DO01gi,CA-BC,0,0,0,0,0
CA-3178,A.H.P. Matthew Park,49.1801,-122.855,CN89ne,CA-BC,4,4,52,0,0
CA-3179,Aleza Lake Ecological Reserve,54.0833,-122.101,CO84wb,CA-BC,0,0,0,0,0
CA-3180,Allco Park,49.2448,-122.534,CN89rf,CA-BC,31,31,1524,0,0
CA-3181,Allison Harbour Marine Provincial Park,51.0514,-127.506,CO61fb,CA-BC,1,1,10,0,0
CA-3182,Alty Conservation Area,53.6278,-129.373,CO53hp,CA-BC,0,0,0,0,0
CA-3183,Ambleside Park,49.3247,-123.151,CN89kh,CA-BC,66,61,2125,0,0
CA-3184,Ambrose Lake Ecological Reserve,49.7319,-124.021,CN79xr,CA-BC,0,0,0,0,0
CA-3185,Ancient Forest/Chun T'oh Whudujut Provincial Park,53.7662,-121.207,CO93js,CA-BC,0,0,0,0,0
CA-3186,Nisga'a Memorial Lava Bed Provincial Park,55.1539,-128.861,CO55nd,CA-BC,1,1,58,0,0
CA-3188,Brooks Peninsula Provincial Park,50.2021,-127.632,CO60ee,CA-BC,0,0,0,0,0
CA-3189,Arctic Pacific Lakes Provincial Park,54.3847,-121.556,CO94fj,CA-BC,0,0,0,0,0
CA-3190,Arrow Lakes Provincial Park,50.6379,-117.925,DO10ap,CA-BC,2,2,48,0,0
CA-3191,Atlin/Teix'gi Aan Tlein Provincial Park,59.15,-134.05,CO29xd,CA-BC,0,0,0,0,0
CA-3192,Babine Lake (Pendleton Bay Site) Marine Park,54.5145,-125.701,CO74dm,CA-BC,0,0,0,0,0
CA-3193,Babine Lake (Pinkut Creek Site) Marine Park,54.4452,-125.442,CO74gk,CA-BC,0,0,0,0,0
CA-3194,Babine Lake (Smithers Landing Site) Marine Park,55.0681,-126.539,CO65rb,CA-BC,0,0,0,0,0
CA-3195,Babine River Corridor Provincial Park,55.6167,-127.113,CO65ko,CA-BC,0,0,0,0,0
CA-3197,Ballingall Islets Ecological Reserve,48.9078,-123.46,CN88gv,CA-BC,0,0,0,0,0
CA-3198,Banks Nii Luutiksm Conservation Area,53.6217,-130.496,CO43so,CA-BC,0,0,0,0,0
CA-3199,Barkerville Historic Town and Park National Historic Site,53.0691,-121.515,CO93fb,CA-BC,1,1,11,0,0
CA-3200,Barnet Marine Park,49.2904,-122.925,CN89mg,CA-BC,12,12,402,0,0
CA-3201,Baynes Island Ecological Reserve,49.7736,-123.175,CN89js,CA-BC,0,0,0,0,0
CA-3202,Bear Island Conservancy Provincial Park,54.9313,-126.273,CO64uw,CA-BC,1,1,14,0,0
CA-3203,Bearhole Lake Provincial Park,55.0472,-120.55,CO95rb,CA-BC,0,0,0,0,0
CA-3204,Bearhole Lake Protected Area,55.0436,-120.357,CO95tb,CA-BC,0,0,0,0,0
CA-3205,Carmanah Walbran Provincial Park,48.6534,-124.639,CN78qp,CA-BC,8,6,396,0,0
CA-3206,Beatton River Provincial Park,56.1008,-120.381,CO96tc,CA-BC,0,0,0,0,0
CA-3207,Clayoquot Arm Provincial Park,49.1721,-125.571,CN79fe,CA-BC,6,6,264,0,0
CA-3208,E.C. Manning Provincial Park,49.0575,-120.737,CN99pb,CA-BC,36,28,786,0,0
CA-3209,Beaver Point Provincial Park,48.7714,-123.404,CN88hs,CA-BC,6,6,73,0,0
CA-3210,Beaver Valley Provincial Park,52.6097,-121.996,CO92ao,CA-BC,0,0,0,0,0
CA-3211,Becher's Prairie Provincial Park,51.975,-122.251,CO81ux,CA-BC,1,1,16,0,0
CA-3212,East Sooke Regional Park,48.3398,-123.67,CN88di,CA-BC,16,13,336,0,0
CA-3213,Bednesti Lake Ecological Reserve,53.8611,-123.447,CO83gu,CA-BC,1,1,31,0,0
CA-3215,Belcarra Regional Park,49.3228,-122.882,CN89nh,CA-BC,13,12,236,0,0
CA-3216,Bella Coola Estuary Conservation Area,52.3807,-126.772,CO62oj,CA-BC,0,0,0,0,0
CA-3217,Goat Range Provincial Park,50.2478,-117.259,DO10if,CA-BC,0,0,0,0,0
CA-3219,Bert Brink Wildlife Management Area,49.1481,-122.15,CN89wd,CA-BC,10,9,651,0,1
CA-3220,Golden Ears Provincial Park,49.4721,-122.403,CN89tl,CA-BC,34,29,1424,0,0
CA-3221,Big Basin Provincial Park,51.3764,-122.643,CO81qj,CA-BC,0,0,0,0,0
CA-3222,Big Bunsby Marine Provincial Park,50.1124,-127.521,CO60fc,CA-BC,0,0,0,0,0
CA-3223,Big Creek Ecological Reserve,51.8347,-122.696,CO81pu,CA-BC,0,0,0,0,0
CA-3224,Big White Mountain Ecological Reserve,49.7583,-118.935,DN09ms,CA-BC,1,1,10,0,0
CA-3225,Gowlland Tod Provincial Park,48.545,-123.52,CN88fn,CA-BC,35,32,633,0,0
CA-3226,Bishop Bay - Monkey Beach Conservation Area,53.4667,-128.833,CO53ol,CA-BC,0,0,0,0,0
CA-3227,Bishop Bay - Monkey Beach Corridor Conservancy Provincial Park,53.4869,-128.962,CO53ml,CA-BC,0,0,0,0,0
CA-3228,Lac du Bois Grasslands Protected Area,50.7601,-120.42,CO90ss,CA-BC,33,32,820,0,0
CA-3229,Matheson Lake Regional Park,48.3605,-123.595,CN88ei,CA-BC,9,9,330,0,0
CA-3230,Blackwater Creek Ecological Reserve,55.5597,-123.643,CO85en,CA-BC,0,0,0,0,0
CA-3231,Pinecone Burke Provincial Park,49.3348,-122.706,CN89pi,CA-BC,2,2,27,0,0
CA-3232,Bligh Island Marine Provincial Park,49.6333,-126.542,CN69rp,CA-BC,0,0,0,0,0
CA-3233,Blue / Dease Rivers Ecological Reserve,59.8713,-129.238,CO59ju,CA-BC,0,0,0,0,0
CA-3234,Blue Earth Lake Provincial Park,50.5931,-121.482,CO90go,CA-BC,2,2,32,0,0
CA-3235,Blue River Black Spruce Provincial Park,52.1386,-119.274,DO02id,CA-BC,1,1,47,0,0
CA-3236,Blue River Pine Provincial Park,52.1136,-119.289,DO02ic,CA-BC,1,1,12,0,0
CA-3237,Rolley Lake Provincial Park,49.2428,-122.388,CN89tf,CA-BC,31,25,1546,0,0
CA-3238,Bocock Peak Provincial Park,55.8581,-122.923,CO85mu,CA-BC,0,0,0,0,0
CA-3239,Sooke Potholes Provincial Park,48.4279,-123.713,CN88dk,CA-BC,6,6,98,0,0
CA-3240,Bolivar Park,49.211,-122.847,CN89nf,CA-BC,38,37,1382,0,0
CA-3241,Bonnie Schrenk Park,49.1548,-122.763,CN89od,CA-BC,18,18,364,0,1
CA-3242,Boothman's Oxbow Provincial Park,49.0147,-118.355,DN09ta,CA-BC,4,4,110,0,0
CA-3243,Border Lake Provincial Park,56.355,-130.713,CO46pi,CA-BC,0,0,0,0,0
CA-3244,Boulder Creek Provincial Park,55.1075,-127.431,CO65gc,CA-BC,0,0,0,0,0
CA-3245,Boundary Bay Wildlife Management Area,49.0461,-122.954,CN89mb,CA-BC,45,42,1636,0,2
CA-3247,Bowen Island Ecological Reserve,49.3583,-123.359,CN89hi,CA-BC,0,0,0,0,0
CA-3248,Bowser Ecological Reserve,49.4431,-124.742,CN79pk,CA-BC,5,5,104,0,0
CA-3249,Tā Ch’ilā (Boya Lake) Provincial Park,59.3833,-129.09,CO59kj,CA-BC,9,8,417,0,0
CA-3250,Boyle Point Provincial Park,49.4806,-124.7,CN79pl,CA-BC,3,3,38,0,0
CA-3251,Boyle Point Protected Area,49.4889,-124.703,CN79pl,CA-BC,3,3,61,0,0
CA-3252,Swiws (Haynes Point) Provincial Park,49.0168,-119.451,DN09ga,CA-BC,7,4,74,0,0
CA-3253,Brandywine Falls Provincial Park,50.0379,-123.122,CO80ka,CA-BC,5,5,55,0,0
CA-3254,Brent Mountain Protected Area,49.4567,-119.91,DN09bk,CA-BC,0,0,0,0,0
CA-3255,Bridal Veil Falls Provincial Park,49.1858,-121.744,CN99de,CA-BC,2,2,22,0,0
CA-3256,Bridge Lake Provincial Park,51.4869,-120.701,CO91pl,CA-BC,1,1,13,0,0
CA-3257,Bridge River Delta Provincial Park,50.8278,-123.205,CO80jt,CA-BC,0,0,0,0,0
CA-3258,Bright Angel Regional Park,48.7334,-123.681,CN88dr,CA-BC,18,13,195,0,0
CA-3259,Brim River Hot Springs Protected Area,53.5186,-128.36,CO53tm,CA-BC,0,0,0,0,0
CA-3260,Bromley Rock Provincial Park,49.4176,-120.259,CN99uk,CA-BC,2,2,29,1,0
CA-3261,Browne Lake Ecological Reserve,49.8222,-119.199,DN09jt,CA-BC,0,0,0,0,0
CA-3262,Browne Lake Provincial Park,49.825,-119.188,DN09jt,CA-BC,3,3,76,0,0
CA-3263,Broughton Archipelago Provincial Park,50.6833,-126.683,CO60pq,CA-BC,0,0,0,0,0
CA-3264,Broughton Archipelago Conservancy Protected Area,50.7554,-126.68,CO60ps,CA-BC,0,0,0,0,0
CA-3265,Buccaneer Bay Provincial Park,49.495,-123.991,CN89al,CA-BC,1,1,16,0,0
CA-3266,Buck Hills Road Ecological Reserve,50.1486,-118.987,DO00md,CA-BC,0,0,0,0,0
CA-3267,Buckingham Park Protected Area,49.2318,-122.956,CN89mf,CA-BC,7,6,93,0,0
CA-3268,Buckinghorse River Wayside Provincial Park,57.385,-122.843,CO87nj,CA-BC,3,3,56,0,0
CA-3269,Bulkley Junction Provincial Park,55.2375,-127.679,CO65df,CA-BC,0,0,0,0,0
CA-3270,Bull Canyon Provincial Park,52.0877,-123.39,CO82hc,CA-BC,0,0,0,0,0
CA-3272,Buntzen Lake Recreation Park,49.3392,-122.859,CN89ni,CA-BC,10,9,170,0,0
CA-3273,Burdwood Group Conservancy Protected Area,50.7976,-126.475,CO60st,CA-BC,0,0,0,0,0
CA-3274,Burges James Gadsden Provincial Park,51.407,-117.042,DO11lj,CA-BC,1,1,25,0,0
CA-3275,Burgoyne Bay Provincial Park,48.7875,-123.517,CN88fs,CA-BC,9,9,137,0,0
CA-3277,Burnaby Lake Regional Park,49.2452,-122.935,CN89mf,CA-BC,101,97,3026,0,1
CA-3278,Burnaby Mountain Conservation Area,49.2821,-122.936,CN89mg,CA-BC,54,46,1358,0,1
CA-3280,Burnie River Protected Area,54.1775,-127.806,CO64ce,CA-BC,0,0,0,0,0
CA-3281,Burnie-Shea Provincial Park,54.2938,-127.553,CO64fh,CA-BC,0,0,0,0,0
CA-3282,Delta Nature Reserve,49.1449,-122.931,CN89md,CA-BC,16,11,220,0,0
CA-3283,Burns Lake Provincial Park,54.1953,-125.719,CO74de,CA-BC,1,1,11,0,0
CA-3285,Burnt Bridge Creek Conservancy Protected Area,52.4397,-126.197,CO62vk,CA-BC,0,0,0,0,0
CA-3286,Burnt Cabin Bog Ecological Reserve,54.75,-126.921,CO64ms,CA-BC,0,0,0,0,0
CA-3287,Buse Lake Protected Area,50.6268,-120.037,CO90xp,CA-BC,4,4,161,0,0
CA-3288,Butler Ridge Provincial Park,56.148,-122.363,CO86td,CA-BC,2,2,31,0,0
CA-3289,Byers/Conroy/Harvey/Sinnett Islands Ecological Reserve,52.5387,-129.369,CO52hm,CA-BC,0,0,0,0,0
CA-3290,Caligata Lake Provincial Park,51.7487,-119.837,DO01br,CA-BC,0,0,0,0,0
CA-3291,Call Lake Provincial Park,54.7605,-127.094,CO64ks,CA-BC,0,0,0,0,0
CA-3292,Callaghan Conservancy Protected Area,50.1655,-123.199,CO80jd,CA-BC,2,2,36,0,0
CA-3293,Callaghan Lake Provincial Park,50.1925,-123.183,CO80je,CA-BC,3,3,41,0,0
CA-3294,Calvert Island Conservation Area,51.5,-127.956,CO61am,CA-BC,1,0,8,0,0
CA-3295,Campbell Brown (Kalamalka Lake) Ecological Reserve,50.1606,-119.371,DO00hd,CA-BC,5,5,144,0,0
CA-3296,Canim Beach Provincial Park,51.8242,-120.873,CO91nt,CA-BC,1,1,36,0,0
CA-3297,Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,51.2803,-128.859,CO51ng,CA-BC,0,0,0,0,0
CA-3298,Cardiff Mountain Ecological Reserve,51.4912,-123.772,CO81cl,CA-BC,0,0,0,0,0
CA-3299,Cariboo Nature Park Provincial Park,51.8822,-121.663,CO91ev,CA-BC,2,2,40,0,0
CA-3300,Cariboo Park,49.234,-122.904,CN89nf,CA-BC,13,13,365,0,0
CA-3301,Cariboo River Provincial Park,52.8667,-121.211,CO92ju,CA-BC,0,0,0,0,0
CA-3302,Carter Bay Conservation Area,52.833,-128.391,CO52tt,CA-BC,0,0,0,0,0
CA-3303,Cascade-Sutslem Conservation Area,52.4298,-127.43,CO62gk,CA-BC,0,0,0,0,0
CA-3304,Castle Park,49.2324,-122.779,CN89of,CA-BC,25,25,658,0,0
CA-3305,Castle Rock Hoodoos Provincial Park,51.1122,-120.876,CO91nc,CA-BC,1,1,10,0,0
CA-3306,Catala Island Marine Park Protected Area,49.8362,-127.051,CN69lu,CA-BC,0,0,0,0,0
CA-3307,Cedar Creek Park Conservation Area,49.7973,-119.53,DN09ft,CA-BC,3,3,39,0,0
CA-3308,Cathedral Protected Area,49.1338,-120.074,CN99xd,CA-BC,1,0,7,0,0
CA-3309,Catherine Creek Ecological Reserve,55.2014,-127.442,CO65ge,CA-BC,0,0,0,0,0
CA-3310,Cates Park,49.303,-122.956,CN89mh,CA-BC,54,52,2118,0,2
CA-3311,Catto Creek Conservancy Protected Area,51.4713,-126.394,CO61tl,CA-BC,0,0,0,0,0
CA-3312,Cecil Lake Ecological Reserve,56.4007,-120.529,CO96rj,CA-BC,1,1,17,0,0
CA-3313,Cedar Greens Park,49.1537,-122.786,CN89od,CA-BC,5,5,72,0,0
CA-3314,Cedar Point Provincial Park,52.5772,-121.538,CO92fn,CA-BC,0,0,0,0,0
CA-3316,Cetan/Thurston Bay Conservancy Protected Area,50.3672,-125.311,CO70ii,CA-BC,0,0,0,0,0
CA-3317,Champion Lakes Provincial Park,49.1828,-117.609,DN19ee,CA-BC,1,1,22,0,0
CA-3318,Charlie Cole Creek Ecological Reserve,59.4184,-131.901,CO49bk,CA-BC,0,0,0,0,0
CA-3319,Charlie Lake Provincial Park,56.3047,-120.987,CO96mh,CA-BC,32,29,466,0,0
CA-3320,Chasm Ecological Reserve,51.2343,-121.499,CO91gf,CA-BC,4,3,53,0,0
CA-3321,Chasm Provincial Park,51.2217,-121.48,CO91gf,CA-BC,4,4,60,0,0
CA-3322,Checleset Bay Ecological Reserve,50.097,-127.601,CO60ec,CA-BC,0,0,0,0,0
CA-3323,Chemainus River Provincial Park,48.8378,-123.825,CN88cu,CA-BC,5,4,81,0,0
CA-3324,Chickens Neck Mountain Ecological Reserve,58.9218,-129.94,CO58aw,CA-BC,0,0,0,0,0
CA-3325,Chilako River Ecological Reserve,53.5429,-123.963,CO83an,CA-BC,0,0,0,0,0
CA-3326,Chilanko Marsh Wildlife Management Area,52.1052,-124.137,CO72wc,CA-BC,0,0,0,0,0
CA-3327,Chilliwack Lake Provincial Park,49.0905,-121.454,CN99gc,CA-BC,9,7,149,0,0
CA-3328,Chilliwack River Provincial Park,49.0804,-121.886,CN99bb,CA-BC,4,3,50,0,0
CA-3329,Chilliwack River Ecological Reserve,49.006,-121.412,CN99ha,CA-BC,0,0,0,0,0
CA-3330,Choquette Hot Springs Provincial Park,56.8325,-131.756,CO46ct,CA-BC,0,0,0,0,0
CA-3332,Christina Lake Provincial Park,49.0417,-118.219,DN09vb,CA-BC,4,4,56,0,0
CA-3333,Chu Chua Cottonwood Provincial Park,51.3389,-120.169,CO91vi,CA-BC,0,0,0,0,0
CA-3334,Chukachida Protected Area,51.3389,-120.169,CO91vi,CA-BC,0,0,0,0,0
CA-3335,Chunamon Creek Ecological Reserve,56.22,-124.467,CO76sf,CA-BC,0,0,0,0,0
CA-3336,Churn Creek Protected Area,51.4536,-122.32,CO81uk,CA-BC,0,0,0,0,0
CA-3337,Cinema Bog Ecological Reserve,53.2457,-122.438,CO83sf,CA-BC,0,0,0,0,0
CA-3338,Cinnemousun Narrows Provincial Park,50.9929,-119.015,DO00lx,CA-BC,1,1,11,0,0
CA-3339,Citadel Heights Park,49.2346,-122.778,CN89of,CA-BC,4,4,69,0,0
CA-3340,Clanninick Creek Ecological Reserve,50.0654,-127.388,CO60hb,CA-BC,0,0,0,0,0
CA-3341,Claud Elliott Creek Ecological Reserve,50.325,-126.563,CO60rh,CA-BC,0,0,0,0,0
CA-3342,Claud Elliott Lake Provincial Park,50.311,-126.555,CO60rh,CA-BC,1,1,12,0,0
CA-3343,Clayhurst Ecological Reserve,56.1352,-120.034,CO96xd,CA-BC,0,0,0,0,0
CA-3344,Clayoquot Plateau Provincial Park,49.23,-125.392,CN79hf,CA-BC,3,3,45,0,0
CA-3345,Clayton Falls Conservancy Protected Area,52.2574,-126.823,CO62og,CA-BC,0,0,0,0,0
CA-3346,Cleland Island Ecological Reserve,49.1713,-126.091,CN69we,CA-BC,0,0,0,0,0
CA-3347,Clendinning Provincial Park,50.4423,-123.736,CO80dk,CA-BC,0,0,0,0,0
CA-3348,Close To The Edge Provincial Park,54.0571,-121.023,CO94lb,CA-BC,0,0,0,0,0
CA-3349,Close To The Edge Protected Area,54.0572,-121.023,CO94lb,CA-BC,0,0,0,0,0
CA-3350,Cluxewe Wildlife Management Area,50.6141,-127.197,CO60jo,CA-BC,16,15,271,0,0
CA-3351,Clyak Estuary Conservancy Protected Area,51.8753,-127.358,CO61hv,CA-BC,0,0,0,0,0
CA-3352,Coast Meridian Park,49.1527,-122.752,CN89od,CA-BC,6,5,86,0,0
CA-3353,Codville Lagoon Conservation Area,52.0462,-127.83,CO62cb,CA-BC,0,0,0,0,0
CA-3354,Codville Lagoon Marine Provincial Park,52.0588,-127.838,CO62bb,CA-BC,1,1,10,0,0
CA-3355,Cody Caves Provincial Park,49.7336,-116.95,DN19mr,CA-BC,0,0,0,0,0
CA-3356,Coldwater River Provincial Park,49.7391,-121.011,CN99lr,CA-BC,2,2,31,0,0
CA-3357,Collinson Point Provincial Park,48.8614,-123.366,CN88hu,CA-BC,1,1,12,0,0
CA-3358,Colony Farm Community Gardens at ƛ̓éxətəm Regional Park,49.2307,-122.808,CN89of,CA-BC,21,16,347,0,0
CA-3359,ƛ̓éxətəm Regional Park,49.2396,-122.813,CN89of,CA-BC,36,34,723,0,0
CA-3360,Columbia Lake Provincial Park,50.291,-115.849,DO20bg,CA-BC,3,3,38,0,0
CA-3361,Columbia Lake Ecological Reserve,50.1979,-115.823,DO20ce,CA-BC,0,0,0,0,0
CA-3362,Columbia Wetlands Wildlife Management Area,51.1975,-116.895,DO11ne,CA-BC,4,3,96,0,0
CA-3363,Comox Lake Bluffs Ecological Reserve,49.6398,-125.111,CN79kp,CA-BC,6,6,155,0,0
CA-3364,Conkle Lake Provincial Park,49.1818,-119.091,DN09ke,CA-BC,1,1,21,0,0
CA-3365,Copper Johnny Provincial Park,51.4383,-121.828,CO91ck,CA-BC,1,1,14,0,0
CA-3366,Copeland Islands Marine Provincial Park,50.0088,-124.812,CO70oa,CA-BC,0,0,0,0,0
CA-3367,Coquihalla Canyon Provincial Park,49.3703,-121.371,CN99hi,CA-BC,2,2,89,0,0
CA-3368,Coquihalla River Provincial Park,49.4611,-121.261,CN99il,CA-BC,3,3,34,0,0
CA-3369,Coquihalla Summit Recreation Area Recreation Park,49.5972,-121.094,CN99ko,CA-BC,5,5,109,0,0
CA-3370,Coquitlam River Wildlife Management Area,49.2256,-122.807,CN89of,CA-BC,6,6,109,0,0
CA-3371,Cormorant Channel Marine Park Protected Area,50.5845,-126.846,CO60no,CA-BC,0,0,0,0,0
CA-3372,Cornwall Hills Provincial Park,50.6961,-121.457,CO90gq,CA-BC,3,2,122,0,0
CA-3373,Coste Rocks Provincial Park,53.8058,-128.788,CO53ot,CA-BC,0,0,0,0,0
CA-3374,Cottonwood River Provincial Park,53.172,-122.489,CO83se,CA-BC,0,0,0,0,0
CA-3375,Cougar Canyon Ecological Reserve,50.1435,-119.33,DO00id,CA-BC,0,0,0,0,0
CA-3376,Coutts Park,49.233,-122.791,CN89of,CA-BC,3,3,43,0,0
CA-3379,Cowichan River Provincial Park,48.7752,-123.9,CN88bs,CA-BC,31,27,714,0,0
CA-3380,Coyote Springs Park,49.1501,-122.766,CN89od,CA-BC,5,5,74,0,0
CA-3381,Crab Lake Conservation Area,53.5613,-128.637,CO53qn,CA-BC,0,0,0,0,0
CA-3382,Craig Headwaters Protected Area,56.5682,-131.223,CO46jn,CA-BC,0,0,0,0,0
CA-3383,Cranberry Marsh/Starratt Wildlife Management Area,52.8172,-119.253,DO02it,CA-BC,1,1,30,0,0
CA-3384,Cranstown Point Conservancy Protected Area,51.3704,-127.778,CO61ci,CA-BC,0,0,0,0,0
CA-3385,Crater Lake Provincial Park,51.3522,-121.098,CO91ki,CA-BC,2,0,3,0,0
CA-3387,Creston Valley Wildlife Management Area,49.1278,-116.634,DN19qd,CA-BC,2,2,52,0,0
CA-3388,Crooked River Provincial Park,54.4822,-122.674,CO84pl,CA-BC,2,2,23,0,0
CA-3389,Crowsnest Provincial Park,49.6511,-114.698,DN29pp,CA-BC,4,4,69,1,0
CA-3390,Brae Island Regional Park,49.1739,-122.574,CN89re,CA-BC,27,25,581,0,0
CA-3391,Cummins Lakes Provincial Park,52.1,-118.067,DO02xc,CA-BC,0,0,0,0,0
CA-3392,Cummins River Protected Area,52.0544,-118.208,DO02vb,CA-BC,0,0,0,0,0
CA-3393,Daawuuxusda Heritage Site Conservation Area,53.1075,-132.436,CO33sc,CA-BC,0,0,0,0,0
CA-3394,Dacre Park,49.2722,-122.8,CN89og,CA-BC,1,1,14,0,0
CA-3395,Dahl Lake Protected Area,53.7705,-123.294,CO83is,CA-BC,3,1,21,0,0
CA-3396,Dala-Kildala Rivers Estuaries Provincial Park,53.8338,-128.499,CO53su,CA-BC,0,0,0,0,0
CA-3397,Dall River Old Growth Provincial Park,58.6616,-127.706,CO68dp,CA-BC,0,0,0,0,0
CA-3398,Damaxyaa Heritage Site Conservation Area,53.2299,-131.86,CO43bf,CA-BC,0,0,0,0,0
CA-3399,Damdochax Protected Area,56.4348,-127.945,CO66ak,CA-BC,0,0,0,0,0
CA-3400,Dante's Inferno Provincial Park,51.8928,-122.879,CO81nv,CA-BC,0,0,0,0,0
CA-3401,Darke Lake Provincial Park,49.7219,-119.861,DN09br,CA-BC,2,2,84,0,0
CA-3402,Davis Lake Provincial Park,49.2976,-122.234,CN89vh,CA-BC,2,2,34,0,0
CA-3403,Dawley Passage Provincial Park,49.1431,-125.786,CN79cd,CA-BC,3,3,42,0,0
CA-3404,Dean River Conservancy Protected Area,52.7324,-126.584,CO62qr,CA-BC,0,0,0,0,0
CA-3405,Dean River Corridor Conservancy Protected Area,52.8565,-126.744,CO62pu,CA-BC,0,0,0,0,0
CA-3406,Dead Man's Island Provincial Park,54.2072,-125.733,CO74de,CA-BC,0,0,0,0,0
CA-3407,Deer Lake Park,49.2357,-122.98,CN89mf,CA-BC,36,35,1164,0,0
CA-3408,Denetiah Corridor Protected Area,58.5118,-127.558,CO68fm,CA-BC,0,0,0,0,0
CA-3409,Denison-Bonneau Provincial Park,50.1582,-118.742,DO00pd,CA-BC,0,0,0,0,0
CA-3410,Denman Island Provincial Park,49.5612,-124.828,CN79on,CA-BC,1,1,38,0,0
CA-3411,Denman Island Protected Area,49.5808,-124.828,CN79on,CA-BC,1,1,34,0,0
CA-3412,Derby Reach Regional Park,49.1977,-122.596,CN89qe,CA-BC,54,43,921,0,0
CA-3413,Desolation Sound Marine Park,50.1121,-124.688,CO70pc,CA-BC,0,0,0,0,0
CA-3414,Det San Ecological Reserve,54.774,-127.107,CO64ks,CA-BC,0,0,0,0,0
CA-3415,Devonian Harbour Park,49.2944,-123.135,CN89kh,CA-BC,24,19,380,0,0
CA-3416,Dewdney and Glide Islands Ecological Reserve,52.9548,-129.575,CO52fw,CA-BC,0,0,0,0,0
CA-3417,Dewdrop-Rosseau Creek Wildlife Management Area,50.7842,-120.704,CO90ps,CA-BC,1,1,33,0,0
CA-3418,Diana Lake Provincial Park,54.2209,-130.163,CO44wf,CA-BC,2,2,43,0,0
CA-3419,Dionisio Point Provincial Park,49.0062,-123.574,CN89fa,CA-BC,0,0,0,0,0
CA-3420,Discovery Island Marine Park,48.4239,-123.232,CN88jk,CA-BC,0,0,0,0,0
CA-3422,Discovery Town Park,49.1608,-122.652,CN89qd,CA-BC,3,3,51,0,0
CA-3423,Dixie Cove Marine Park Protected Area,50.0512,-127.199,CO60jb,CA-BC,0,0,0,0,0
CA-3424,Doc English Bluff Ecological Reserve,51.938,-122.273,CO81uw,CA-BC,0,0,0,0,0
CA-3425,Donnely Lake Provincial Park,51.736,-120.682,CO91pr,CA-BC,0,0,0,0,0
CA-3427,Douglas Park,49.2526,-123.123,CN89kg,CA-BC,9,8,112,0,0
CA-3428,Downing Provincial Park,51.0058,-121.778,CO91ca,CA-BC,1,0,3,0,0
CA-3430,Dragon Mountain Provincial Park,52.8832,-122.36,CO82tv,CA-BC,1,1,21,0,0
CA-3431,Drewry Point Provincial Park,49.415,-116.811,DN19oj,CA-BC,0,0,0,0,0
CA-3432,Driftwood Canyon Provincial Park,54.8275,-127.023,CO64lt,CA-BC,1,1,15,0,0
CA-3433,Drizzle Lake Ecological Reserve,53.9266,-132.076,CO33xw,CA-BC,0,0,0,0,0
CA-3434,Drumbeg Provincial Park,49.1342,-123.695,CN89dd,CA-BC,8,6,148,0,0
CA-3435,Dry Gulch Provincial Park,50.5875,-116.038,DO10xo,CA-BC,6,6,96,1,0
CA-3436,Drywilliam Lake Ecological Reserve,54.0621,-124.703,CO74pb,CA-BC,0,0,0,0,0
CA-3437,Duck Lake Protected Area,49.8658,-124.444,CN79su,CA-BC,2,1,18,0,0
CA-3438,Duke of Edinburgh (Pine / Storm / Tree Islands) Ecological Reserve,50.9772,-127.721,CO60dx,CA-BC,0,0,0,0,0
CA-3439,Dune Za Keyih (Frog-Gataga) Park,58.3319,-126.228,CO68vh,CA-BC,0,0,0,0,0
CA-3440,Dune Za Keyih (Frog-Gataga) Protected Area,58.3322,-126.228,CO68vh,CA-BC,0,0,0,0,0
CA-3441,Dunn Peak Provincial Park,51.4545,-119.948,DO01ak,CA-BC,0,0,0,0,0
CA-3442,Duu Guusd Heritage Site Conservation Area,53.8333,-133,CO33mt,CA-BC,0,0,0,0,0
CA-3443,Dzawadi / Klinaklini Estuary Conservancy Protected Area,51.0919,-125.597,CO71ec,CA-BC,0,0,0,0,0
