reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
CA-1182,Lesser Slave Lake Provincial Park,55.3207,-114.759,DO25oh,CA-AB,9,8,173,0,0
CA-1183,Little Bow Provincial Park,50.229,-112.925,DO30mf,CA-AB,9,8,216,1,0
CA-1184,Little Fish Lake Provincial Park,51.3738,-112.206,DO31vi,CA-AB,1,1,13,0,0
CA-1185,Lois Hole Centennial Provincial Park,53.6105,-113.654,DO33eo,CA-AB,54,42,1586,0,0
CA-1186,O'Brien Provincial Park,55.0684,-118.81,DO05ob,CA-AB,3,2,36,0,0
CA-1187,Park Lake Provincial Park,49.8097,-112.927,DN39mt,CA-AB,137,129,1862,0,0
CA-1188,Pembina River Provincial Park,53.6039,-114.995,DO23mo,CA-AB,11,11,169,0,0
CA-1189,Pigeon Lake Provincial Park,53.0177,-114.131,DO23wa,CA-AB,7,7,155,0,0
CA-1190,Queen Elizabeth Provincial Park,56.2122,-117.69,DO16df,CA-AB,6,5,130,0,0
CA-1191,Red Lodge Provincial Park,51.9486,-114.245,DO21vw,CA-AB,10,7,540,0,0
CA-1192,Rochon Sands Provincial Park,52.4665,-112.891,DO32nl,CA-AB,4,4,68,0,0
CA-1193,Strathcona Science Provincial Park,53.5635,-113.374,DO33hn,CA-AB,63,54,2607,0,0
CA-1194,Sylvan Lake Provincial Park,52.3128,-114.091,DO22wh,CA-AB,1,1,35,0,0
CA-1195,Thunder Lake Provincial Park,54.1307,-114.723,DO24pd,CA-AB,3,3,119,0,0
CA-1196,Tillebrook Provincial Park,50.5345,-111.806,DO40cm,CA-AB,6,6,138,0,0
CA-1197,Victoria Settlement Provincial Park,54.0035,-112.403,DO34ta,CA-AB,4,4,160,0,0
CA-1198,Wabamun Lake Provincial Park,53.559,-114.437,DO23sn,CA-AB,42,35,1092,0,0
CA-1199,Williamson Provincial Park,55.0828,-117.558,DO15fb,CA-AB,3,3,94,0,0
CA-1200,Willow Creek Provincial Park,50.1167,-113.777,DO30cc,CA-AB,4,3,91,0,0
CA-1201,Woolford Provincial Park,49.1778,-113.188,DN39je,CA-AB,3,3,110,0,0
CA-1202,Wyndham-Carseland Provincial Park,50.8252,-113.446,DO30gt,CA-AB,16,15,423,1,0
CA-1203,Anarchist Protected Area,49.0604,-119.416,DN09hb,CA-BC,0,0,0,0,0
CA-1204,Apodaca Provincial Park,49.3545,-123.339,CN89hi,CA-BC,0,0,0,0,0
CA-1205,Arbutus Grove Provincial Park,49.249,-124.151,CN79wf,CA-BC,14,14,301,0,0
CA-1206,Beatton Provincial Park,56.3278,-120.944,CO96mh,CA-BC,5,5,128,0,0
CA-1207,Beaumont Provincial Park,54.0583,-124.617,CO74qb,CA-BC,6,5,84,0,0
CA-1208,Beaver Creek Provincial Park,49.0633,-117.613,DN19eb,CA-BC,1,1,15,0,0
CA-1209,Bedard Aspen Provincial Park,50.6628,-121.51,CO90fp,CA-BC,1,1,82,0,0
CA-1210,Bellhouse Provincial Park,48.8723,-123.312,CN88iu,CA-BC,3,3,30,0,0
CA-1211,Big Bar Lake Provincial Park,51.309,-121.814,CO91ch,CA-BC,2,1,22,0,0
CA-1212,Bijoux Falls Provincial Park,55.3085,-122.67,CO85ph,CA-BC,0,0,0,0,0
CA-1213,Bishop River Provincial Park,50.9066,-124.034,CO70xv,CA-BC,0,0,0,0,0
CA-1214,Blackcomb Glacier Provincial Park,50.0932,-122.874,CO80nc,CA-BC,3,3,119,0,0
CA-1215,Blanket Creek Provincial Park,50.8333,-118.083,DO00xt,CA-BC,2,2,40,0,0
CA-1216,Bobtail Mountain Provincial Park,53.6875,-123.365,CO83hq,CA-BC,0,0,0,0,0
CA-1217,Bodega Ridge Provincial Park,48.9578,-123.534,CN88fw,CA-BC,1,1,13,0,0
CA-1218,Boundary Creek Provincial Park,49.0582,-118.696,DN09pb,CA-BC,3,3,41,0,0
CA-1219,Brackendale Eagles Provincial Park,49.7542,-123.175,CN89js,CA-BC,0,0,0,0,0
CA-1220,Arthur Kyle Nature Reserve,46.302,-67.5324,FN66fh,CA-NB,0,0,0,0,0
CA-1221,Bass Brook Nature Reserve,47.5024,-65.5626,FN77fm,CA-NB,0,0,0,0,0
CA-1222,Berry Brook Nature Reserve,47.8169,-66.7549,FN67ot,CA-NB,0,0,0,0,0
CA-1223,Blueberry Hill Nature Reserve,45.2999,-66.1861,FN65vh,CA-NB,3,3,164,0,0
CA-1224,Boar's Head Nature Reserve,45.2967,-66.1256,FN65wh,CA-NB,3,3,221,0,0
CA-1225,Caledonia Gorge Nature Reserve,45.7952,-64.7852,FN75ot,CA-NB,5,5,166,0,0
CA-1226,Cape Enrage Marsh Nature Reserve,45.6059,-64.7766,FN75oo,CA-NB,9,9,658,0,0
CA-1227,Caughey-Taylor Nature Reserve,45.1615,-67.0455,FN65ld,CA-NB,5,5,160,0,0
CA-1228,Clarke Brook Nature Reserve,46.3421,-67.6417,FN66ei,CA-NB,1,1,32,0,0
CA-1229,Connors Brook Nature Reserve,47.8619,-68.2416,FN57vu,CA-NB,0,0,0,0,0
CA-1230,Cranberry Lake Nature Reserve,46.1137,-65.6088,FN76ec,CA-NB,1,1,22,0,0
CA-1231,Daly Point Nature Reserve,47.6385,-65.6134,FN77ep,CA-NB,15,10,323,0,0
CA-1232,Dipper Harbour Back Cove Nature Reserve,45.1024,-66.3981,FN65tc,CA-NB,3,3,267,0,0
CA-1233,Dungarvon Nature Reserve,46.723,-66.4527,FN66sr,CA-NB,0,0,0,0,0
CA-1234,Dungarvon Whooper Spring Woodlot Nature Reserve,46.7481,-65.9932,FN76ar,CA-NB,0,0,0,0,0
CA-1235,Glazier Lake Nature Reserve,47.2274,-68.9802,FN57mf,CA-NB,1,1,38,0,0
CA-1236,Goose Lake Nature Reserve,47.7101,-65.2531,FN77ir,CA-NB,0,0,0,0,0
CA-1237,Goulette Brook Nature Reserve,47.856,-66.5891,FN67qu,CA-NB,0,0,0,0,0
CA-1238,Grand Lake Nature Reserve,45.9693,-66.3981,FN65tx,CA-NB,0,0,0,0,0
CA-1239,Grindstone Island Conservation Nature Reserve,45.7231,-64.6162,FN75qr,CA-NB,2,2,492,0,0
